build	model	fa	pp_tps	tg_tps	command
bianbu-system	Qwen3.5-0.8B-Q4_K_M	0	177.08	27.96	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	Qwen3.5-0.8B-Q4_K_M	1	177.38	28.29	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	Qwen3.5-2B-Q4_1	0	122.64	16.17	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-2B-GGUF/Qwen3.5-2B-Q4_1.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	Qwen3.5-2B-Q4_1	1	121.60	16.22	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-2B-GGUF/Qwen3.5-2B-Q4_1.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	Qwen3.5-4B-Q4_K_M	0	40.00	7.06	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	Qwen3.5-4B-Q4_K_M	1	40.29	7.07	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	Qwen3.5-4B-UD-Q4_K_XL	0	10.29	4.63	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	Qwen3.5-4B-UD-Q4_K_XL	1	10.29	4.65	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-4B-GGUF/Qwen3.5-4B-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	Qwen3.5-9B-Q4_K_M	0	26.05	4.24	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-9B-GGUF/Qwen3.5-9B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	Qwen3.5-9B-Q4_K_M	1	25.38	4.25	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-Qwen3.5-9B-GGUF/Qwen3.5-9B-Q4_K_M.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	gemma-4-E2B-q4_0-google	0	130.04	11.58	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/google-gemma-4-E2B-it-qat-q4_0-gguf/gemma-4-E2B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	gemma-4-E2B-q4_0-google	1	130.13	12.07	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/google-gemma-4-E2B-it-qat-q4_0-gguf/gemma-4-E2B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	gemma-4-E2B-qat-UD-Q4_K_XL	0	134.37	12.76	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
bianbu-system	gemma-4-E2B-qat-UD-Q4_K_XL	1	135.56	13.33	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 1 -ub 128
bianbu-system	gemma-4-E4B-q4_0-google	0	60.71	6.82	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-bench -m /home/owner/models/google-gemma-4-E4B-it-qat-q4_0-gguf/gemma-4-E4B_q4_0-it.gguf -t 8 -p 128 -n 128 -mmp 0 -fa 0 -ub 128
