build	model	fa	mtp_mean_tps	mtp_min	mtp_max	accept_pct	command
bianbu-system	Qwen3.5-2B-Q4_1-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-2B-MTP-GGUF/Qwen3.5-2B-Q4_1.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	Qwen3.5-2B-Q4_1-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-2B-MTP-GGUF/Qwen3.5-2B-Q4_1.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	Qwen3.5-4B-Q4_K_M-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-4B-MTP-GGUF/Qwen3.5-4B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	Qwen3.5-4B-Q4_K_M-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-4B-MTP-GGUF/Qwen3.5-4B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	Qwen3.5-9B-Q4_K_M-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	Qwen3.5-9B-Q4_K_M-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-9B-MTP-GGUF/Qwen3.5-9B-Q4_K_M.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-E2B-qat-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/mtp-gemma-4-E2B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-E2B-qat-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/mtp-gemma-4-E2B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-E4B-qat-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/mtp-gemma-4-E4B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-E4B-qat-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-E4B-it-qat-GGUF/mtp-gemma-4-E4B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-12b-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf --model-draft /home/owner/models/unsloth-gemma-4-12b-it-GGUF/mtp-gemma-4-12b-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-12b-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf --model-draft /home/owner/models/unsloth-gemma-4-12b-it-GGUF/mtp-gemma-4-12b-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-12B-qat-MTP	0	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/mtp-gemma-4-12B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
bianbu-system	gemma-4-12B-qat-MTP	1	FAIL	-	-	-	LD_LIBRARY_PATH=/usr/lib /usr/bin/llama-cli -m /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/gemma-4-12B-it-qat-UD-Q4_K_XL.gguf --model-draft /home/owner/models/unsloth-gemma-4-12B-it-qat-GGUF/mtp-gemma-4-12B-it.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 256 --temp 0 -st --simple-io -p "..."
spacemit-0.1.3	Qwen3.5-2B-Q4_1-MTP	0	6.46	6.40	6.50	-	LD_LIBRARY_PATH=/home/owner/spacemit-llama.cpp.riscv64.0.1.3/lib /home/owner/spacemit-llama.cpp.riscv64.0.1.3/bin/llama-cli -m /home/owner/models/unsloth-Qwen3.5-2B-MTP-GGUF/Qwen3.5-2B-Q4_1.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 256 --temp 0 -st --simple-io -p "..."
