# results.log - SpacemiT K3 llama.cpp bench rows
# schema:
# datestamp | buildnumber | modelpath | tg128results | pg128results | testfeatures | commandline | notes
# (worked-example rows live in bench.sh header; this file accumulates new runs)
2026-06-14:00:15|f837d3549+patch1+toolchain|/home/owner/qwen/Qwen3.5-0.8B-Q4_K_M-MTP.gguf|26.39t/s|120.58t/s|IME2-A100-FA|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-completion -m Qwen3.5-0.8B-Q4_K_M-MTP.gguf -t 8 --no-mmap -fa 1 -n 200 --temp 0 -no-cnv|Post-merge baseline (Gemma4 MTP + E2B/E4B cherry-picks), SpacemiT toolchain flags applied, use_ime2=1 confirmed, A100 workers verified via psr histogram, no heap crash
2026-06-14:00:16|f837d3549+patch1+toolchain|/home/owner/qwen/Qwen3.5-0.8B-Q4_K_M-MTP.gguf|25.54t/s|112.79t/s|IME2-A100-noFA|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-completion -m Qwen3.5-0.8B-Q4_K_M-MTP.gguf -t 8 --no-mmap -fa 0 -n 200 --temp 0 -no-cnv|FA-off cost isolation; FA gives +3% tg / +7% pp here
2026-06-14:00:17|f837d3549+patch1+toolchain|/home/owner/qwen/Qwen3.5-0.8B-Q4_K_M-MTP.gguf|6.91t/s|58.05t/s|IME2-A100-noFA-MTP|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-completion -m Qwen3.5-0.8B-Q4_K_M-MTP.gguf --model-draft Qwen3.5-0.8B-Q4_K_M-MTP.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 0 -n 200 --temp 0 -no-cnv|MTP runs without flag/crash error BUT 3.5x slower than baseline and perf_print emits no draft accept %. Suspect 0% acceptance or stat-emit not wired; needs investigation
2026-06-14:00:18|f837d3549+patch1+toolchain|/home/owner/qwen/Qwen3.5-0.8B-Q4_K_M-MTP.gguf|7.07t/s|60.30t/s|IME2-A100-FA-MTP|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-completion -m Qwen3.5-0.8B-Q4_K_M-MTP.gguf --model-draft Qwen3.5-0.8B-Q4_K_M-MTP.gguf --spec-type draft-mtp --spec-draft-n-max 4 -t 8 --no-mmap -fa 1 -n 200 --temp 0 -no-cnv|FA-on + MTP coexist (no error) - the new build lifts the old FA-off-required rule. Speed same as config 3, so FA neither helps nor hurts when MTP path dominates. ROOT CAUSE later understood: llama-completion does NOT drive the spec loop; --spec-type only set n_rs_seq=4 (5x DeltaNet widening) for zero benefit. Real MTP requires llama-server, or patched llama-speculative-simple (see patch 2).
2026-06-14:01:50|f837d3549+patch2|/home/owner/qwen/Qwen3.5-4B-Q4_K_M-MTP.gguf|1.74t/s|10.08t/s|IME2-A100-FA-MTP-4B|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-speculative-simple -m Qwen3.5-4B-Q4_K_M-MTP.gguf --spec-type draft-mtp --spec-draft-n-max 4 --no-spec-draft-backend-sampling -t 8 --no-mmap -fa 1 -n 60 --temp 0|First successful 4B MTP run after patch 2 (MTP-on-target, no duplicate model load). accept=2.2% (5/224). Low accept suggests Qwen3.5 MTP head training norm-tap mismatch; needs investigation. No crash, coherent output, RAM in budget. Prior attempts without patch 2 OOM'd at warmup (~15 GB).
2026-06-14:03:20|f837d3549+patch4|/home/owner/qwen/Qwen3.5-4B-Q4_K_M-MTP.gguf|1.67t/s|9.90t/s|IME2-A100-FA-MTP-4B-prenorm|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-speculative-simple -m Qwen3.5-4B-Q4_K_M-MTP.gguf --spec-type draft-mtp --spec-draft-n-max 4 --no-spec-draft-backend-sampling -t 8 --no-mmap -fa 1 -n 60 --temp 0 -p "Write a short poem about a robot."|Patch 4 routes Qwen3.5 to pre-output-norm tap via llama_model_mtp_uses_nextn=false. Dispatch log confirms "mtp tap: pre_norm (target arch dictates)". accept=1.293% (3/232) - WORSE than patch 2's broken-nextn path (2.2%). Hypothesis disproven: pre_norm is not what the trained gguf expects. Upstream commit 166fe2949 chose POST-output-norm for Qwen3.5 MTP. Fork currently exposes neither a post-output-norm tap for Qwen3.5 nor a working nextn for Qwen3.5. Patch 5 must add a post-output-norm tap to qwen35.cpp/qwen35moe.cpp trunk+MTP graphs.
2026-06-14:04:55|f837d3549+patch5|/home/owner/qwen/Qwen3.5-4B-Q4_K_M-MTP.gguf|1.84t/s|9.65t/s|IME2-A100-FA-MTP-4B-postnorm|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-speculative-simple -m Qwen3.5-4B-Q4_K_M-MTP.gguf --spec-type draft-mtp --spec-draft-n-max 4 --no-spec-draft-backend-sampling -t 8 --no-mmap -fa 1 -n 60 --temp 0 -p "Write a short poem about a robot."|Patch 5 exposes post-output-norm tap via t_h_nextn in qwen35.cpp/qwen35moe.cpp (trunk + MTP); uses_nextn flipped back to true. Dispatch log: "mtp tap: nextn (post-output-norm) (target arch dictates)". accept=4.808% (10/208) - 2x better than patch 4 (1.3%) and patch 2's zeros path (2.2%). Confirms post-norm IS the right direction per upstream 166fe2949, but still ~6x short of expected ≥30%. Something else is still wrong: KV cache plumbing, hnorm distribution mismatch, or model needs different runtime config we don't have. Not net-positive vs 7 t/s non-MTP baseline.
2026-06-14:06:30|f837d3549+patch6ab|/home/owner/models/Qwen3.5-4B-Q4_K_M-MTP.gguf|4.72t/s|10.33t/s|IME2-A100-FA-MTP-4B-postnorm-hookwired|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-speculative-simple -m /home/owner/models/Qwen3.5-4B-Q4_K_M-MTP.gguf --spec-type draft-mtp --spec-draft-n-max 4 --no-spec-draft-backend-sampling -t 8 --no-mmap -fa 1 -n 60 --temp 0 -p "Write a short poem about a robot."|MAJOR WIN. Patch 6a's L2 probes revealed input-to-mtp was always L2=0.000 (zero-vector h input). Root cause: speculative-simple bypassed common_speculative_process(), so MTP impl's process() hook was never called → pending_h never populated. Patch 6b replaces direct llama_decode(ctx_dft, batch_tgt) with common_speculative_process(spec, batch_tgt). Result: accept=47.619% (40/84), tg=4.72 t/s (~10x accept jump, ~2.5x tg jump vs patch 5). Probe sequence confirms: process/trunk-row0 L2=153.7 → process/verify-row0 L2=153.7 → next draft/input-to-mtp L2=153.7 (clean propagation). MTP-output L2~173 vs naive ~50 expected, but RMSNorm post-norm with learned gamma typically scales 2-4x so this is reasonable. NOTE: still below 7 t/s non-MTP baseline; the per-draft MTP graph cost dominates. Model relocated to /home/owner/models/.
2026-06-14:07:15|f837d3549+patch6c|/home/owner/models/Qwen3.5-4B-Q4_K_M-MTP.gguf|4.585t/s|10.68t/s|IME2-A100-FA-MTP-4B-postnorm-warmup|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-speculative-simple -m /home/owner/models/Qwen3.5-4B-Q4_K_M-MTP.gguf --spec-type draft-mtp --spec-draft-n-max 4 --no-spec-draft-backend-sampling -t 8 --no-mmap -fa 1 -n 60 --temp 0 -p "Write a short poem about a robot."|Patch 6c adds pre-loop warmup: decode id_last on ctx_tgt + common_speculative_process(spec, warmup) to seed pending_h with h(id_last), then KV rollback on ctx_tgt+ctx_dft so iter 1 re-decodes id_last cleanly. CORRECTNESS WIN: first-iter probe now shows draft/input-to-mtp L2=153.791 (was 0.000 in 6a/6b first-iter). Perf: accept=44.318% (39/88), tg=4.585 t/s — within run-to-run noise of 6b (47.6%, 4.72 t/s); the recovered cycle is just 1 of ~22 over a 60-token run. Probe trace confirms iter 1 now executes 4 full draft steps (was 0 useful steps before) with proper h propagation. Still ~33% below non-MTP 7 t/s baseline.
2026-06-14:11:55|f837d3549+patch6c|/home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf|12.54t/s|67.11t/s|IME2-A100-FA-Gemma4-E2B-noMTP|LD_LIBRARY_PATH=/home/owner/llama-smt/build/bin /home/owner/llama-smt/build/bin/llama-completion -m /home/owner/models/unsloth-gemma-4-E2B-it-qat-GGUF/gemma-4-E2B-it-qat-UD-Q4_K_XL.gguf -t 8 --no-mmap -fa 1 -n 60 --temp 0 -no-cnv -p "Write a short poem about a robot."|Gemma 4 E2B (unsloth UD-Q4_K_XL qat) non-MTP baseline for the Gemma regression test. Reference row for the patch-7 MTP run below.
